name,freereturns,items_sold,item_status,shipping_price,item_price
Charlotte Tilbury Airbrush Bronzer - 3 Tan .56oz,False,,Brand New,0,2779
Laura Geller Baked Bronze N Brighten Multipurpose Bronzer Medium-FREE SHIPPING,False,,Brand New,0,1616
"Physicians Formula Shimmer Strips, Sunset Strip/Bronzer, #2455",False,366 sold,Brand New,0,1698
Milk Makeup Matte Cream Bronzer 0.19 oz ~ U PICK SHADE ~ FREE SHIPPING ~ *NEW*,False,,Brand New,0,1898
Too Faced Lot Of 2- 1 Chocolate Soleil Medium/Deep Matte Bronzer Mini & 1 Brush,True,,New without box,0,1295
TARTE SHAPE TAPE GLOW BRONZER (Glow Bronzer)  9 g / 0.31 oz.,True,16 sold,Brand New,0,1450
(2) BareMinerals All Over Face Loose Powder Warmth Bronzer 1.5g - 0.05 Oz,False,,New without box,,2249
"Clinique True Bronze Pressed Powder Bronzer -  02 Sunkissed, 0.33 oz",False,,Brand New,0,2450
BareMinerals Endless Summer Bronzer 0.13oz New in Box - Warmth   4 pack,False,71 sold,Brand New,220,2280
2x DAMAGED Neutrogena Healthy Skin Blend Natural Radiance Bronzer 30 Sunkissed,False,,New without box,0,2795
bareMinerals WARMTH All Over Face Loose Powder Bronzer 0.05 oz SEALED,False,45 sold,Brand New,0,1495
LAURA GELLER BAKED BRONZE-N-BRIGHTEN Multipurpose BRONZER - Medium NIB,False,,Brand New,0,2349
Estee Lauder Bronze Goddess Powder Bronzer (02 Medium),False,,Brand New,0,2500
Jane Iredale PureBronze Matte Bronzer Refill,False,,Brand New,471,2200
Hourglass AMBIENT Lighting Bronzer in Radiant Bronze Light * BNIB*  0.35oz,False,,Brand New,0,3600
Estee Lauder Bronze Goddess powder bronzer Bronzing 02 medium NEW SEALED FreeSh,False,,Brand New,0,2795
Laura Geller Soft Matte Baked Bronzer ~ FAIR ~ full size NIB,True,,Brand New,0,1350
2x Estee Lauder  Bronze Goddess Powder Bronzer Limited #02 Medium 0.08 oz/2.3 g,True,,Brand New,0,999
Too Faced MILK CHOCOLATE Soleil Matte Bronzer - FULL SIZE - New in Box,False,,Brand New,,2399
"BECCA Sunchaser Bronzer, Blush & Highlight Palette 0.42 oz. Full Size New in Box",False,,Brand New,0,1619
CHARLOTTE TILBURY Beautiful Skin Sun-Kissed Glow Bronzer 0.74 oz. Boxed - 1 Fair,False,,Brand New,484,2999
New in Box! Too Faced Chocolate Soleil Matte Bronzer 8g/.28oz ~ Full Size,False,,Brand New,0,2495
Estee Lauder Bronze Goddess Powder Bronzer Choose Shade New&Sealed,False,,Brand New,0,1199
TOO FACED Chocolate Soleil Melting Bronzing & Sculpting Stick CHOCOLATE SOUFFLE,True,,Brand New,0,2400
MINERAL FUSION BRONZER SPARKLE FULL SIZE / NEW IN BOX!,False,,Brand New,,2999
New! Estee Lauder Bronze Goddess Powder Bronzer  02 Medium,False,,New without box,0,780
LYS Beauty No Limits Cream Bronzer and Contour Stick Harmony New,False,,Brand New,,2199
Laura Geller Soft Matte Baked Bronzer Medium New In Box Full Size 0.30oz,True,,Brand New,0,1598
Estee Lauder Bronze Goddess Powder Bronzer 02 Medium 0.74oz. New.,False,,Brand New,,3899
MAC Bronzing Powder MATTE BRONZE NIB,False,14 sold,Brand New,,6500
LAURA GELLER Baked Body Frosting Face + Body Glow Tahitian Ginger .85oz Jumbo Sz,False,,Brand New,0,2800
TARTE PARK AVE PRINCESS WATERPROOF FACE BODY BRONZER LIGHT MEDIUM & BODY BRUSH,True,,New without box,0,1998
🌞 DOMINIQUE Cream Bronzer – Medium Tan – 8 g / 0.28 oz | Hydrating,True,,Brand New,500,1000
MARC JACOBS OMEGA O!Mega BRONZE Perfect Tan Bronzer 102 Tantric Full Size New,False,,New without box,0,2999
"Physicians Formula Bronze Booster Glow-Boosting Baked Bronzer, Medium to Dark",False,,Brand New,0,1499
🌞 Context Skin Matte Bronzer - Shade Speed of Sound - 0.10 oz | Buildable | NEW,True,,New without box,500,500
